,Snapshot,Random,Simulated Annealing Score,Full Search Score
0,19,399079.19,276893.03,276361.44
1,20,399440.48,277210.12,276617.54
2,21,404849.47,283014.97,282420.2
3,22,404964.71,283286.17,282727.78
4,23,405221.28,283481.92,283057.11
5,24,405053.43,282353.9,281843.4
6,25,406595.95,283101.61,282639.73
7,26,409034.44,284315.34,283881.53
8,27,404588.0,281569.31,281130.91
9,28,405351.0,281967.49,281492.18
10,29,414155.21,288732.71,288267.58
11,30,411838.45,286255.6,285759.0
12,31,412270.87,286363.92,285869.66
13,32,539202.88,362115.04,361290.05
14,33,532778.91,358033.34,357442.19
15,34,530443.49,357144.49,356453.21
16,35,522888.36,350672.97,350064.68
17,36,525491.7,352780.72,352150.01
18,37,525130.96,352106.55,351449.2
19,38,515539.29,346106.75,345533.3
20,39,527497.64,353710.31,352999.42
21,40,522423.08,349775.12,349113.34
22,41,522493.13,350381.38,349808.27
23,42,523231.07,350877.52,350239.33
24,43,518452.7,348792.67,348154.32
25,44,519379.31,350051.07,349363.45
26,45,520578.74,351324.59,350800.72
27,46,521721.91,352413.96,351799.29
28,47,520482.08,350995.59,350334.82
29,48,522850.43,354474.46,353837.97
